order_id,order_timestamp,order_payment,order_address_num,order_address_street,order_address_state,order_zip,order_completed
1,2024-07-11 14:49:03,8983847858158898,685,Walnut,Washington,49847,False
2,2024-07-10 14:48:23,8912754039834456,156,Thornberry,District ,50451,False
3,2024-07-09 14:49:03,1513222144093774,692,Thornberry,New Jersey,38438,True
4,2024-07-08 14:48:52,7377926348156189,101,Pardo Place,North Carolina,78567,False
5,2024-07-07 14:49:08,1041023685568740,211,Waalker Loop,Iowa,95021,True
6,2024-07-06 14:49:03,5168037811212866,455,Wade Meadow Lane,Oregon,33129,True
7,2024-07-05 14:48:21,9659678345077616,595,Main,South Carolina,90770,True
8,2024-07-04 14:49:00,9806180403940007,762,Wade Meadow Lane,District ,46299,False
9,2024-07-03 14:48:23,3370441699904475,462,Cypress Point,Florida,51699,False
10,2024-07-02 14:48:22,6540481314642172,163,Wade Meadow Lane,Colorado,91012,True
11,2024-07-01 14:48:17,8916286949763582,259,Ware Way,Missouri,20998,False
12,2024-06-30 14:48:49,1006977804806180,610,Elm,Mississippi,77998,True
13,2024-06-29 14:48:23,5212038765073054,92,Gatsby Lane,Hawaii,11365,True
14,2024-06-28 14:48:48,4090402498812497,983,Paradise Drive,Kansas,40056,False
15,2024-06-27 14:48:56,5980763869340865,864,Maple,Guam,17104,False
16,2024-06-26 14:48:52,2893700528401925,229,Water,South Carolina,97812,False
17,2024-06-25 14:48:15,7682590204620396,188,Duval Court,Kentucky,99008,True
18,2024-06-24 14:49:05,8373343823003497,629,Walnut,American Samoa,56018,False
19,2024-06-23 14:48:15,8132181126779492,944,Gatsby Lane,Colorado,46744,True
20,2024-06-22 14:48:16,9505313359160796,453,Waalker Loop,Massachusetts,72830,False
21,2024-06-21 14:48:31,7328240988058848,719,Rose Path,Florida,63526,True
22,2024-06-20 14:48:55,7705425312505437,680,Bell Terrace,Connecticut,47170,True
23,2024-06-19 14:48:52,6507161931354561,456,Lock Street,Virginia,34735,False
24,2024-06-18 14:48:34,3676921082962493,872,Bell Terrace,Hawaii,26833,False
25,2024-06-17 14:48:21,8510939217435995,531,Hudson,North Dakota,10845,False
26,2024-06-16 14:48:13,7224550716764516,594,Duval Court,Pennsylvania,28437,True
27,2024-06-15 14:49:00,7525765350362592,371,Elm,Maine,63110,True
28,2024-06-14 14:48:16,5775937132950142,847,Maple,Illinois,75782,True
29,2024-06-13 14:48:18,4510672915444283,767,Yuma Place,American Samoa,15243,True
30,2024-06-12 14:49:02,1389922764951805,587,Iva Place,New Mexico,43889,True
31,2024-06-11 14:49:00,2886927186232255,683,Thornberry,Nebraska,46680,False
32,2024-06-10 14:48:14,5440805233575836,999,Duval Court,New Mexico,70544,False
33,2024-06-09 14:49:05,4175429703792821,548,Bexley Place,Mississippi,77349,True
34,2024-06-08 14:48:54,9494908618307286,780,Main,Connecticut,40103,True
35,2024-06-07 14:48:30,7191808908335320,757,Talley Ridge Drive,Iowa,43747,False
36,2024-06-06 14:48:31,2110784899473285,279,Rogers Road,Connecticut,40501,True
37,2024-06-05 14:48:13,6559743793235202,399,Gatsby Lane,New Hampshire,48304,True
38,2024-06-04 14:49:09,7911492411836686,473,Rose Path,Massachusetts,96579,True
39,2024-06-03 14:48:16,2623380075650423,708,Gaskin Place,Virgin Islands,32455,False
40,2024-06-02 14:48:26,3259035995522138,427,Mistwood Lane,Ohio,77617,True
41,2024-06-01 14:48:49,3474601213461783,207,Waalker Loop,Nebraska,17600,False
42,2024-05-31 14:48:38,9759554584385493,854,Thornberry,South Dakota,51262,True
